Id,UserId,Name,Date,Class,TagBased
"5903905","1430632","Editor","2013-03-21 17:16:55","3","False"
"5903906","515659","Notable Question","2013-03-21 17:16:55","2","False"
"5903907","100894","Notable Question","2013-03-21 17:16:55","2","False"
"5903908","136328","Notable Question","2013-03-21 17:16:55","2","False"
"5903909","23056","Notable Question","2013-03-21 17:16:55","2","False"
"5903910","818841","Notable Question","2013-03-21 17:16:55","2","False"
"5903911","97410","Notable Question","2013-03-21 17:16:55","2","False"
"5903912","1192740","Notable Question","2013-03-21 17:16:55","2","False"
"5903913","278899","Notable Question","2013-03-21 17:16:55","2","False"
"5903914","521364","Organizer","2013-03-21 17:16:55","3","False"
"5903915","292207","Popular Question","2013-03-21 17:16:55","3","False"
"5903916","52954","Popular Question","2013-03-21 17:16:55","3","False"
"5903917","663289","Popular Question","2013-03-21 17:16:55","3","False"
"5903918","464908","Popular Question","2013-03-21 17:16:55","3","False"
"5903919","307280","Popular Question","2013-03-21 17:16:55","3","False"
"5903920","63116","Popular Question","2013-03-21 17:16:55","3","False"
"5903921","963031","Popular Question","2013-03-21 17:16:55","3","False"
"5903922","873058","Revival","2013-03-21 17:16:55","3","False"
"5903923","456434","Revival","2013-03-21 17:16:55","3","False"
"5903924","125278","Revival","2013-03-21 17:16:55","3","False"
"5903925","292921","Revival","2013-03-21 17:16:55","3","False"
"5903926","2196134","Scholar","2013-03-21 17:16:55","3","False"
"5903927","1843844","Scholar","2013-03-21 17:16:55","3","False"
"5903928","2165046","Student","2013-03-21 17:16:55","3","False"
"5903929","1093908","Supporter","2013-03-21 17:16:55","3","False"
"5903930","765063","Tag Editor","2013-03-21 17:16:55","3","False"
"5903931","1986139","Teacher","2013-03-21 17:16:55","3","False"
"5903932","547705","Teacher","2013-03-21 17:16:55","3","False"
"5903933","2611","Nice Answer","2013-03-21 17:21:55","3","False"
"5903935","88656","Nice Answer","2013-03-21 17:21:55","3","False"
"5903936","594420","Nice Answer","2013-03-21 17:21:55","3","False"
"5903937","634124","Nice Answer","2013-03-21 17:21:55","3","False"
"5903938","992151","Nice Answer","2013-03-21 17:21:55","3","False"
"5903939","191059","Nice Question","2013-03-21 17:21:55","3","False"
"5903940","2153650","Commentator","2013-03-21 17:21:55","3","False"
"5903941","1265145","Commentator","2013-03-21 17:21:55","3","False"
"5903942","32134","Critic","2013-03-21 17:21:55","3","False"
"5903943","2196204","Editor","2013-03-21 17:21:55","3","False"
"5903944","2153650","Editor","2013-03-21 17:21:55","3","False"
"5903945","759780","Editor","2013-03-21 17:21:55","3","False"
"5903946","2196151","Editor","2013-03-21 17:21:55","3","False"
"5903947","1023019","Necromancer","2013-03-21 17:21:55","2","False"
"5903948","579843","Notable Question","2013-03-21 17:21:55","2","False"
"5903949","320681","Notable Question","2013-03-21 17:21:55","2","False"
"5903950","544613","Notable Question","2013-03-21 17:21:55","2","False"
"5903951","2627","Notable Question","2013-03-21 17:21:55","2","False"
"5903952","61635","Popular Question","2013-03-21 17:21:55","3","False"
"5903953","41060","Popular Question","2013-03-21 17:21:55","3","False"
"5903954","759547","Popular Question","2013-03-21 17:21:55","3","False"
"5903955","1235929","Popular Question","2013-03-21 17:21:55","3","False"
"5903956","1217055","Popular Question","2013-03-21 17:21:55","3","False"
"5903957","518927","Popular Question","2013-03-21 17:21:55","3","False"
"5903958","507674","Popular Question","2013-03-21 17:21:55","3","False"
"5903959","602141","Popular Question","2013-03-21 17:21:55","3","False"
"5903960","181430","Popular Question","2013-03-21 17:21:55","3","False"
"5903961","23283","Populist","2013-03-21 17:21:55","1","False"
"5903962","2187325","Scholar","2013-03-21 17:21:55","3","False"
"5903963","1454316","Scholar","2013-03-21 17:21:55","3","False"
"5903964","1988340","Scholar","2013-03-21 17:21:55","3","False"
"5903965","1924976","Scholar","2013-03-21 17:21:55","3","False"
"5903966","1634933","Student","2013-03-21 17:21:55","3","False"
"5903967","254973","Student","2013-03-21 17:21:55","3","False"
"5903968","1439399","Student","2013-03-21 17:21:55","3","False"
"5903969","2196107","Student","2013-03-21 17:21:55","3","False"
"5903970","2183494","Supporter","2013-03-21 17:21:55","3","False"
"5903971","973324","Supporter","2013-03-21 17:21:55","3","False"
"5903972","1991516","Supporter","2013-03-21 17:21:55","3","False"
"5903973","1790500","Supporter","2013-03-21 17:21:55","3","False"
"5903975","1409983","Teacher","2013-03-21 17:21:55","3","False"
"5903976","2065475","Teacher","2013-03-21 17:21:55","3","False"
"5903977","2188503","Teacher","2013-03-21 17:21:55","3","False"
"5903978","2124301","Teacher","2013-03-21 17:21:55","3","False"
"5903979","80901","Yearling","2013-03-21 17:21:55","2","False"
"5903980","669843","Yearling","2013-03-21 17:21:55","2","False"
"5903981","393208","Yearling","2013-03-21 17:21:55","2","False"
"5903982","64767","Reviewer","2013-03-21 17:21:55","2","False"
"5903983","1085483","Announcer","2013-03-21 17:26:55","3","False"
"5903984","2043606","Announcer","2013-03-21 17:26:55","3","False"
"5903985","98713","Nice Answer","2013-03-21 17:26:55","3","False"
"5903986","135769","Nice Answer","2013-03-21 17:26:55","3","False"
"5903987","451989","Nice Answer","2013-03-21 17:26:55","3","False"
"5903988","112877","Good Answer","2013-03-21 17:26:55","2","False"
"5903989","923257","Great Answer","2013-03-21 17:26:55","1","False"
"5903990","166229","Nice Question","2013-03-21 17:26:55","3","False"
"5903991","1639860","Analytical","2013-03-21 17:26:55","3","False"
"5903992","1376503","Commentator","2013-03-21 17:26:55","3","False"
"5903993","1416225","Critic","2013-03-21 17:26:55","3","False"
"5903994","1863495","Critic","2013-03-21 17:26:55","3","False"
"5903995","1250436","Critic","2013-03-21 17:26:55","3","False"
"5903996","481463","Critic","2013-03-21 17:26:55","3","False"
"5903997","854483","Editor","2013-03-21 17:26:55","3","False"
"5903998","1932746","Editor","2013-03-21 17:26:55","3","False"
"5903999","2069676","Editor","2013-03-21 17:26:55","3","False"
"5904000","704703","Necromancer","2013-03-21 17:26:55","2","False"
"5904001","1518659","Necromancer","2013-03-21 17:26:55","2","False"
"5904002","54964","Popular Question","2013-03-21 17:26:55","3","False"
"5904003","412436","Popular Question","2013-03-21 17:26:55","3","False"
"5904004","392572","Popular Question","2013-03-21 17:26:55","3","False"
"5904005","93311","Popular Question","2013-03-21 17:26:55","3","False"
"5904006","166612","Popular Question","2013-03-21 17:26:55","3","False"
